index,nome_sub_familia,quantidade,total_qtd,percent_qtd
59,CERVEJAS LATA,88722.0,572621.6050000001,15.494001488120587
133,FRUTAS,47067.894000000386,572621.6050000001,8.219720246147608
237,REFRIGERANTES,28149.0,572621.6050000001,4.915811725266635
164,LEGUMES,23816.04399999997,572621.6050000001,4.159124244011011
43,BOVINA,22438.635000000155,572621.6050000001,3.918579879639741
128,FOLHAS,21733.211999999992,572621.6050000001,3.7953880556078547
141,GERAL ROTISSERIA,15265.816000000013,572621.6050000001,2.6659518024996647
225,PRODUCAO PROPRIA,14586.641000000007,572621.6050000001,2.5473438083077573
27,AVES,13661.098000000073,572621.6050000001,2.3857112411956702
37,BISCOITOS DOCES,12655.0,572621.6050000001,2.210010919863912
235,REFRESCO,11328.0,572621.6050000001,1.978269751103785
67,CIGARROS,10510.0,572621.6050000001,1.8354179982433598
167,LEITE L.V TRADICIONAL,10305.0,572621.6050000001,1.799617742330906
65,CHOCOLATES/OVOS PASC,9405.0,572621.6050000001,1.6424458871054994
247,SABONETES,7951.0,572621.6050000001,1.38852602321912
274,Sub Familia em Geral,7673.825000000008,572621.6050000001,1.3401214576945637
186,MAC INSTANTANEO,7247.0,572621.6050000001,1.2655827053539133
254,SALGADINHOS,6504.0,572621.6050000001,1.1358286070956052
93,DESODORANTE AEROSOL,6433.0,572621.6050000001,1.1234294940722676
271,SUCOS PRONTOS/NECTAR,6334.0,572621.6050000001,1.106140589997473
98,DETERGENTES LIQUIDOS,6120.0,572621.6050000001,1.0687686155327651
156,IOGURTES/SOBREMESAS,5555.0,572621.6050000001,0.9700996175301487
273,SUINA,5390.505,572621.6050000001,0.9413729682798118
100,DOCES,4533.669999999999,572621.6050000001,0.7917392498664102
205,PAES SALGADOS,4466.0,572621.6050000001,0.7799216727074068
203,OVOS,4191.0,572621.6050000001,0.7318969391663102
8,AGUA MINERAL/SABORES,4044.0,572621.6050000001,0.7062255361461605
31,BALAS EM GERAL,3991.0,572621.6050000001,0.696969860227331
83,CREME LEITE,3969.0,572621.6050000001,0.6931278815440433
187,MAC OVOS E SEMOLA,3811.0,572621.6050000001,0.6655354891822497
5,ACHOCOLATADOS PO/LIQ,3653.0,572621.6050000001,0.637943096820456
63,CHICLE/GOMA,3646.0,572621.6050000001,0.6367206490575917
196,MOLHOS TOMATES,3616.0,572621.6050000001,0.6314815872167449
6,ACUCAR,3573.0,572621.6050000001,0.6239722652448644
157,IORGURTES/BEB.LACTEA,3524.0,572621.6050000001,0.6154151309048144
183,LINGUICA,3341.9420000000005,572621.6050000001,0.583621360217451
200,OLEO SOJA,3335.0,572621.6050000001,0.5824090413074791
42,BOMBOM,3319.0,572621.6050000001,0.5796148749923606
278,TEMPEROS,3253.0,572621.6050000001,0.5680889389424976
46,CAFE,3166.0,572621.6050000001,0.5528956596040415
121,FEIJAO,3005.0,572621.6050000001,0.5247793610581633
165,LEITE CONDENSADO,2896.0,572621.6050000001,0.5057441030364196
148,HAMB/CHICKEN/NUGGETS,2846.0,572621.6050000001,0.49701233330167477
82,CREME DENTAL,2831.0,572621.6050000001,0.4943928023812513
24,ARROZ,2789.0,572621.6050000001,0.48705811580406566
40,BOLO,2449.0,572621.6050000001,0.42768208160780097
194,MILHO,2348.0,572621.6050000001,0.4100439067436164
268,SORVETE 2LITROS,2336.0,572621.6050000001,0.4079482820072777
238,"REFRIGERANTES 2 L/2,250L/2,500",2130.0,572621.6050000001,0.371973390700129
240,REQUEIJAO,2129.0,572621.6050000001,0.37179875530543416
210,PAPEL HIGIENICO,2063.0,572621.6050000001,0.360272819255571
35,BEBIDAS RESFRIADAS,1968.0,572621.6050000001,0.34368245675955583
191,MARGARINA,1862.0,572621.6050000001,0.3251711049218968
256,SALSICHA,1756.2159999999967,572621.6050000001,0.30669747432949135
158,ISOTONICOS/ENERGETIC,1734.0,572621.6050000001,0.3028177744009501
204,PAES DOCES,1663.0,572621.6050000001,0.2904186613776125
2,ACESSORIOS P/ LIMPEZA,1643.0,572621.6050000001,0.2869259534837146
233,QUEIJO RALADO,1618.5060000000003,572621.6050000001,0.28264843412605783
188,MAIONESE,1614.0,572621.6050000001,0.28186152703756256
19,ALVEJANTES/AGUA SANITARIAS,1611.0,572621.6050000001,0.28133762085347785
291,VINHOS,1555.0,572621.6050000001,0.27155803875056367
22,APERITIVOS AMENDOINS,1536.7480000000003,572621.6050000001,0.2683705935265925
20,AMACIANTES ROUPAS,1534.0,572621.6050000001,0.26789069546197086
33,BATATA PALHA,1489.0,572621.6050000001,0.26003210270070054
118,FARINHA TRIGO,1484.0,572621.6050000001,0.25915892572722604
39,BISCOITOS SALGADOS,1469.0,572621.6050000001,0.2565393948068026
53,CATCHUP/MOSTARDA,1446.0,572621.6050000001,0.25252278072882
111,ESPONJA BANHO,1399.0,572621.6050000001,0.2443149171781599
236,REFRESCO EM PO,1371.0,572621.6050000001,0.23942512612670275
113,EXTRATO,1338.0,572621.6050000001,0.23366215810177118
234,QUEIJOS,1328.206000000003,572621.6050000001,0.23195177904612993
58,CERVEJAS ESPECIAIS,1315.0,572621.6050000001,0.2296455440237886
147,GUARDANAPOS/P.TOALHA,1305.0,572621.6050000001,0.22789919007683962
0,ABSORVENTES,1198.0,572621.6050000001,0.20921320284448572
13,ALIMENTO CAES,1195.0,572621.6050000001,0.20868929666040104
110,ESPECIARIAS,1171.1339999999993,572621.6050000001,0.20452144833061253
192,MASSAS/LASANHAS/CANE,1140.0,572621.6050000001,0.19908434995218174
