index,nome_sub_familia,quantidade,total_freq,percent_freq
1,ACESSORIOS DE PERFUMARIA,673,477485,0.1409468360262626
292,VODKA,670,477485,0.14031854403803262
99,DETERGENTES/SABAO PO 1K,669,477485,0.14010911337528928
60,CHA,659,477485,0.13801480674785596
115,FARINHA DE MANDIOCA,649,477485,0.13592050012042262
287,UTILIDADES,641,477485,0.13424505481847598
179,LIMPADOR MULTIUSO,636,477485,0.13319790150475933
169,LEITE PO,617,477485,0.129218718912636
51,CARVAO,612,477485,0.12817156559891935
28,AZEITES,611,477485,0.127962134936176
138,GELATINAS,597,477485,0.12503010565776937
190,MANTEIGA,588,477485,0.12314522969307937
107,ERVILHA,578,477485,0.12105092306564603
116,FARINHA DE MILHO,568,477485,0.11895661643821273
32,BANDEJAS/UNIDADE,562,477485,0.11770003246175272
272,SUCOS/POLPAS,545,477485,0.11413971119511607
71,CONDICIONADOR,530,477485,0.11099825125396609
114,FARINACEOS,512,477485,0.10722849932458611
139,GELEIAS/OUTROS,509,477485,0.10660020733635613
10,ALCOOL,499,477485,0.1045059007089228
245,SABAO PEDRA,493,477485,0.10324931673246279
154,INSETICIDAS,482,477485,0.10094557944228615
258,SARDINHA,481,477485,0.10073614877954282
34,BATATAS,456,477485,0.09550038221095951
58,CERVEJAS ESPECIAIS,455,477485,0.09529095154821618
18,ALUMINIOS,441,477485,0.09235892226980953
223,POLVILHO,440,477485,0.09214949160706619
289,VELAS,429,477485,0.08984575431688954
177,LIMPADOR GATILHO/REFIL,419,477485,0.08775144768945621
284,TORRADAS,415,477485,0.08691372503848288
276,TAPIOCA/PAO DE QUIJO,409,477485,0.08565714106202289
124,FESTINHA,406,477485,0.08502884907379289
41,BOLOS,403,477485,0.08440055708556289
166,LEITE IN NATURA,403,477485,0.08440055708556289
208,PAO DE MEL,397,477485,0.0831439731091029
279,TENDER/LOMBO,389,477485,0.08146852780715624
260,SELETAS,380,477485,0.07958365184246625
140,GELO,351,477485,0.07351016262290962
219,PILHAS/BATERIAS,348,477485,0.07288187063467963
136,FUBA,338,477485,0.0707875640072463
149,HASTES FLEXIVEIS,336,477485,0.07036870268175964
288,VASSOURAS/RODOS/PA,331,477485,0.06932154936804297
68,COBERTURAS,317,477485,0.06638952008963632
25,ATUM,299,477485,0.06261976816025634
215,PEITO DE PERU,282,477485,0.05905944689361969
126,FILTROS P/CAFE,280,477485,0.05864058556813303
76,COPOS,268,477485,0.056127417615213046
130,FOSFOROS,255,477485,0.05340481899954973
102,DOCES EM GERAL,255,477485,0.05340481899954973
206,PALITO,251,477485,0.05256709634857639
48,CANUDO/EMBALAGEM/PRATOS PLAS,243,477485,0.05089165104662974
267,SOPAS E CREMES,238,477485,0.04984449773291307
161,LAMPADAS,229,477485,0.04795962176822308
195,MISTURA P/ BOLO,211,477485,0.044189869838843106
61,CHAMPIGNON,204,477485,0.04272385519963978
120,FAROFA,189,477485,0.0395823952584898
286,UTENSILIOS PLASTICOS,189,477485,0.0395823952584898
172,LENCOS UMEDECIDOS,185,477485,0.03874467260751647
229,PURIFICADORES AR/SANITARIO,182,477485,0.03811638061928647
117,FARINHA DE ROSCA,182,477485,0.03811638061928647
214,PATE,177,477485,0.03706922730556981
162,LAVA LOUCAS ESPECIAIS,177,477485,0.03706922730556981
145,GRAOS,172,477485,0.03602207399185314
134,FRUTAS EM CALDA,158,477485,0.033090044713446495
159,JORNAIS,158,477485,0.033090044713446495
221,PO MINGAUS,158,477485,0.033090044713446495
201,OLEOS ESPECIAIS,154,477485,0.032252322062473165
207,PALMITO,149,477485,0.031205168748756507
181,LIMPADOR SANITARIO,144,477485,0.03015801543503984
49,CAPUCCINO,143,477485,0.029948584772296512
216,PEIXES,142,477485,0.029739154109553183
47,CALÇADOS,140,477485,0.029320292784066514
87,CULINARIOS,131,477485,0.027435416819376526
266,SOLVENTES,128,477485,0.026807124831146528
275,TALCO,128,477485,0.026807124831146528
239,REMOVEDOR/QUEROSENE,128,477485,0.026807124831146528
293,WHISKY,124,477485,0.025969402180173202
132,FRIOS ESPECIAIS,120,477485,0.025131679529199872
96,DETERGENTE /SABAO PO 500G,118,477485,0.024712818203713207
135,FRUTAS SECAS,114,477485,0.023875095552739877
222,POLPA,112,477485,0.023456234227253212
80,CREME DE PENTEAR,111,477485,0.02324680356450988
15,ALIMENTOS P/VITAMINAS,109,477485,0.022827942239023215
30,BACON,109,477485,0.022827942239023215
125,FILMES PVC,108,477485,0.022618511576279882
108,ESCOVA DENTAL,98,477485,0.02052420494884656
17,ALUMINIO/INOX/FERRO,93,477485,0.0194770516351299
281,TINTURA,92,477485,0.01926762097238657
255,SALGADOS,91,477485,0.019058190309643234
131,FRALDAS DESCARTAVEIS,90,477485,0.0188487596468999
146,GROSELHA,89,477485,0.018639328984156572
119,FARINHAS P/MINGAU,87,477485,0.018220467658669907
137,GEL,83,477485,0.017382745007696574
127,FIO DENTAL,81,477485,0.016963883682209913
11,ALGODAO,81,477485,0.016963883682209913
86,CREMES TEMPERADOS,81,477485,0.016963883682209913
26,AUTOMOTIVOS,78,477485,0.016335591693979915
259,SAZONAIS,77,477485,0.016126161031236583
232,QUEIJO M.FRESCAL,73,477485,0.015288438380263255
283,TOMATE SECO/PELADO,73,477485,0.015288438380263255
155,INSETICIDAS/ANTI-MOFO,70,477485,0.014660146392033257
185,LUSTRA MOVEIS,69,477485,0.014450715729289926
184,LOUCAS/VIDROS,69,477485,0.014450715729289926
175,LIMPA VIDROS/ALUMINI,69,477485,0.014450715729289926
144,GRANULADOS /CONFEITO,68,477485,0.014241285066546592
248,SACO E.TUDO/CELOFANE,64,477485,0.013403562415573264
75,CONSERVAS,64,477485,0.013403562415573264
189,MAMADEIRA / CHUPETAS,64,477485,0.013403562415573264
9,ALCAPARRAS,60,477485,0.012565839764599936
178,LIMPADOR LIMP.PESADA,59,477485,0.012356409101856604
231,QUEIJO M.DIVERSOS,57,477485,0.011937547776369939
242,ROSBIFE,57,477485,0.011937547776369939
56,CERA LIQ/CERA PASTA,53,477485,0.011099825125396609
227,PURE,51,477485,0.010680963799909945
