cluster_name
"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
"3-FRUTAS,LEGUMES,FOLHAS"
"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
"6-FRUTAS,LEGUMES,FOLHAS"
"2-LEGUMES,FRUTAS,FOLHAS"
"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
"5-BOVINA,AVES,SUINA"
"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
